time,"
Boston Celtics
",score,"
Dallas Mavericks
",url
6:11.0,"{'player': '', 'action': 'Offensive rebound by Team'}",10-11,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:04.0,"{'player': 'J. Brown', 'action': 'misses 3-pt jump shot from 30 ft'}",10-11,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
6:02.0,"{'player': '', 'action': ''}",10-11,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:49.0,"{'player': '', 'action': ''}",10-13,"{'player': 'L. Dončić', 'action': 'makes 2-pt jump shot from 10 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:31.0,"{'player': 'A. Horford J. Brown', 'action': 'A. Horford makes 2-pt layup from 2 ft (assist by J. Brown )'}",12-13,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
5:10.0,"{'player': '', 'action': ''}",12-16,"{'player': 'J. Green L. Dončić', 'action': 'J. Green makes 3-pt jump shot from 23 ft (assist by L. Dončić )'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:57.0,"{'player': 'D. White', 'action': 'misses 2-pt jump shot from 12 ft'}",12-16,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:54.0,"{'player': '', 'action': ''}",12-16,"{'player': 'L. Dončić', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:42.0,"{'player': '', 'action': ''}",12-16,"{'player': 'T. Hardaway', 'action': 'misses 3-pt jump shot from 24 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:38.0,"{'player': 'D. White', 'action': 'Defensive rebound by'}",12-16,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:24.0,"{'player': 'S. Hauser', 'action': 'misses 3-pt jump shot from 26 ft'}",12-16,"{'player': '', 'action': ''}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:21.0,"{'player': '', 'action': ''}",12-16,"{'player': 'J. Green', 'action': 'Defensive rebound by'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
4:11.0,"{'player': '', 'action': ''}",12-16,"{'player': 'L. Dončić', 'action': 'misses 3-pt jump shot from 26 ft'}",https://www.basketball-reference.com/boxscores/pbp/202401220DAL.html
