PW_Home,SRS_Home,Point Differential,Away Score,Home Score,Winner
57,6.39,8,110,118,1
52,4.46,7,105,112,1
54,5.23,37,105,142,1
47,2.77,12,114,102,0
20,-8.29,13,118,105,0
42,1.07,21,112,133,1
46,1.48,9,108,117,1
20,-9.29,6,104,110,1
36,-2.38,7,117,110,0
66,10.75,2,118,120,1
47,1.98,8,119,111,0
44,1.24,4,131,127,0
54,5.23,26,119,93,0
49,3.08,14,119,133,1
20,-8.29,6,128,134,1
49,3.41,11,106,117,1
29,-4.22,8,109,117,1
20,-9.06,2,127,129,1
48,2.75,14,126,140,1
37,-1.77,13,92,105,1
57,6.39,2,106,108,1
47,2.77,10,132,122,0
20,-9.29,4,130,126,0
52,4.46,20,109,129,1
58,7.36,16,108,124,1
26,-5.8,33,134,101,0
24,-6.57,31,123,92,0
49,3.08,5,107,112,1
53,4.36,6,106,112,1
26,-6.45,3,121,124,1
44,1.24,23,113,136,1
47,2.44,9,122,113,0
54,5.23,18,93,111,1
49,3.08,21,88,109,1
29,-4.22,37,90,127,1
49,3.41,17,104,121,1
49,2.51,13,97,110,1
24,-6.57,8,98,106,1
52,4.46,27,85,112,1
58,7.36,4,123,127,1
47,2.77,6,115,121,1
45,2.29,7,111,104,0
47,1.98,39,101,140,1
48,2.75,12,130,142,1
36,-2.38,3,138,141,1
44,1.24,11,101,112,1
24,-6.57,5,116,111,0
57,6.39,11,117,106,0
46,2.3,29,97,126,1
53,4.36,16,100,116,1
49,3.08,9,131,122,0
29,-4.22,6,148,154,1
42,1.07,14,110,96,0
45,2.29,3,135,138,1
26,-5.8,4,125,121,0
47,2.77,3,130,127,0
66,10.75,29,97,126,1
48,2.75,34,116,150,1
34,-3.02,9,115,124,1
47,1.98,24,90,114,1
49,2.51,36,128,92,0
37,-1.77,13,91,104,1
44,1.24,27,122,95,0
52,4.46,16,111,95,0
46,2.3,36,103,139,1
54,5.23,2,122,120,0
49,3.08,16,97,113,1
47,2.77,4,109,113,1
42,1.07,14,127,113,0
45,2.29,5,130,135,1
48,2.75,17,118,101,0
20,-9.29,16,121,105,0
49,2.51,11,120,109,0
44,1.24,4,108,112,1
47,1.98,2,115,117,1
34,-3.02,7,134,127,0
46,1.48,7,110,117,1
45,2.29,33,133,100,0
46,2.3,7,108,115,1
54,5.23,17,114,131,1
49,3.08,6,121,115,0
47,2.77,15,133,118,0
42,1.07,3,103,106,1
18,-10.12,7,119,112,0
48,2.75,2,131,133,1
20,-9.29,8,136,128,0
46,1.1,7,113,120,1
47,2.44,16,132,116,0
49,3.41,27,111,138,1
20,-9.06,21,131,110,0
46,1.48,21,113,92,0
53,4.36,28,84,112,1
46,2.3,17,120,103,0
42,1.07,1,131,132,1
66,10.75,7,120,127,1
18,-10.12,25,123,98,0
20,-9.06,22,130,108,0
48,2.75,8,104,112,1
36,-2.38,7,132,139,1
46,1.1,8,128,120,0
37,-1.77,5,119,124,1
47,2.77,36,141,105,0
29,-4.22,13,111,124,1
49,3.41,6,120,126,1
47,1.98,9,102,111,1
47,2.44,33,102,135,1
58,7.36,62,77,139,1
46,2.3,4,124,128,1
42,1.07,18,127,109,0
36,-2.38,18,126,108,0
20,-9.06,2,112,110,0
49,2.51,19,93,112,1
37,-1.77,9,140,131,0
24,-6.57,9,128,119,0
46,1.1,3,96,99,1
57,6.39,23,93,116,1
26,-5.8,36,99,135,1
29,-4.22,32,113,145,1
54,5.23,12,113,125,1
66,10.75,32,113,145,1
36,-2.38,28,127,99,0
24,-6.57,12,106,94,0
47,2.44,11,118,129,1
58,7.36,12,100,112,1
46,2.3,10,118,108,0
26,-5.8,6,122,116,0
29,-4.22,7,125,132,1
54,5.23,8,109,117,1
46,1.1,17,87,104,1
47,2.44,1,142,143,1
57,6.39,4,105,109,1
20,-8.29,11,127,116,0
49,2.51,9,115,124,1
46,2.3,5,120,125,1
53,4.36,4,98,94,0
20,-9.29,12,129,117,0
36,-2.38,10,99,109,1
24,-6.57,9,107,116,1
47,1.98,18,91,109,1
34,-3.02,1,96,95,0
26,-6.45,9,105,96,0
29,-4.22,27,105,132,1
42,1.07,7,105,112,1
49,2.51,5,121,126,1
49,3.08,2,117,119,1
49,3.41,11,117,128,1
20,-9.06,7,124,117,0
36,-2.38,2,104,106,1
66,10.75,19,98,117,1
47,1.98,40,95,135,1
53,4.36,15,94,109,1
26,-6.45,24,97,121,1
52,4.46,20,112,132,1
42,1.07,17,110,127,1
20,-8.29,2,103,105,1
53,4.36,4,109,113,1
26,-6.45,6,116,110,0
29,-4.22,5,134,129,0
57,6.39,15,103,118,1
45,2.29,5,126,121,0
18,-10.12,4,120,124,1
46,1.48,15,124,109,0
66,10.75,2,102,100,0
46,1.1,1,109,108,0
52,4.46,14,123,109,0
20,-8.29,3,115,118,1
42,1.07,18,130,112,0
20,-9.06,6,141,135,0
18,-10.12,8,97,89,0
20,-9.29,4,131,127,0
36,-2.38,21,116,95,0
53,4.36,26,100,126,1
37,-1.77,29,96,125,1
44,1.24,1,126,127,1
57,6.39,5,102,97,0
49,3.41,11,114,125,1
46,1.48,18,87,105,1
20,-9.29,9,113,104,0
44,1.24,9,116,107,0
49,3.08,7,110,117,1
42,1.07,24,110,134,1
20,-9.06,9,122,113,0
46,1.48,27,126,99,0
49,2.51,10,123,133,1
26,-6.45,8,108,100,0
57,6.39,3,128,125,0
46,2.3,9,119,110,0
49,3.08,2,113,115,1
45,2.29,15,107,122,1
48,2.75,5,114,109,0
34,-3.02,5,108,103,0
52,4.46,29,124,153,1
58,7.36,2,109,111,1
49,3.41,11,116,127,1
20,-9.06,7,106,113,1
20,-9.29,11,118,107,0
46,1.1,9,105,96,0
44,1.24,6,137,131,0
47,2.44,10,116,126,1
46,2.3,23,132,109,0
26,-5.8,26,140,114,0
47,2.77,22,112,134,1
48,2.75,12,122,134,1
20,-9.29,15,123,108,0
34,-3.02,2,96,94,0
46,1.1,33,143,110,0
53,4.36,38,84,122,1
47,2.77,1,134,133,0
42,1.07,9,132,141,1
36,-2.38,5,148,143,0
18,-10.12,34,138,104,0
48,2.75,2,131,133,1
26,-6.45,20,127,107,0
24,-6.57,1,106,107,1
47,2.44,12,112,100,0
52,4.46,24,107,83,0
26,-5.8,16,100,116,1
20,-9.06,14,118,104,0
53,4.36,16,109,125,1
54,5.23,6,105,111,1
34,-3.02,2,104,106,1
66,10.75,19,115,96,0
18,-10.12,12,134,122,0
47,2.44,24,117,141,1
47,2.77,1,145,144,0
26,-5.8,1,112,113,1
46,2.3,5,120,115,0
20,-9.06,16,104,120,1
48,2.75,6,110,116,1
36,-2.38,1,125,126,1
46,1.48,15,98,113,1
20,-8.29,8,104,96,0
18,-10.12,21,113,92,0
47,1.98,10,108,118,1
66,10.75,6,112,118,1
34,-3.02,33,114,147,1
46,1.1,13,118,105,0
44,1.24,16,119,135,1
24,-6.57,9,103,94,0
58,7.36,6,107,101,0
26,-5.8,5,118,113,0
46,2.3,2,129,131,1
54,5.23,6,107,113,1
20,-8.29,26,104,130,1
36,-2.38,16,122,138,1
66,10.75,5,124,129,1
53,4.36,15,103,118,1
37,-1.77,11,118,107,0
47,2.77,12,107,119,1
18,-10.12,7,117,110,0
47,1.98,7,121,128,1
20,-9.29,16,125,109,0
46,1.1,9,106,115,1
44,1.24,11,110,99,0
57,6.39,34,87,121,1
58,7.36,5,100,105,1
26,-5.8,10,108,98,0
34,-3.02,16,136,120,0
20,-8.29,3,116,119,1
66,10.75,9,114,105,0
53,4.36,4,105,109,1
24,-6.57,7,108,101,0
29,-4.22,3,127,124,0
20,-9.06,11,136,125,0
20,-9.29,8,110,102,0
36,-2.38,9,120,129,1
48,2.75,11,133,122,0
44,1.24,29,106,135,1
24,-6.57,20,121,101,0
57,6.39,2,108,106,0
58,7.36,20,106,126,1
26,-5.8,1,114,113,0
54,5.23,12,108,120,1
49,2.51,15,136,121,0
36,-2.38,7,134,141,1
37,-1.77,8,123,115,0
46,2.3,12,129,117,0
53,4.36,8,113,105,0
26,-5.8,16,117,101,0
20,-9.06,12,111,99,0
20,-9.29,28,140,112,0
66,10.75,40,91,131,1
18,-10.12,16,115,99,0
46,1.1,8,103,95,0
57,6.39,21,90,111,1
58,7.36,8,127,135,1
29,-4.22,15,108,123,1
54,5.23,9,103,112,1
18,-10.12,6,124,118,0
47,1.98,26,110,136,1
49,2.51,16,118,102,0
36,-2.38,5,149,144,0
34,-3.02,11,109,98,0
52,4.46,38,100,138,1
48,2.75,3,129,132,1
34,-3.02,12,119,107,0
46,1.1,26,95,121,1
53,4.36,10,113,123,1
37,-1.77,6,123,129,1
29,-4.22,7,117,124,1
49,3.08,8,106,114,1
18,-10.12,6,123,117,0
20,-9.29,8,114,106,0
66,10.75,8,117,125,1
46,1.1,12,104,116,1
49,2.51,23,127,104,0
49,3.41,11,117,106,0
45,2.29,13,133,120,0
48,2.75,22,131,109,0
46,1.48,16,111,127,1
34,-3.02,23,118,95,0
53,4.36,14,122,108,0
24,-6.57,8,118,110,0
47,2.44,24,129,105,0
49,3.08,14,115,129,1
42,1.07,8,114,106,0
20,-8.29,6,128,122,0
49,2.51,6,127,121,0
66,10.75,4,129,133,1
26,-6.45,3,104,107,1
