Date,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team,Point Differential
"Sun, Nov 12, 2023",Los Angeles Lakers,Portland Trail Blazers,116,110,Los Angeles Lakers,Portland Trail Blazers,6
"Mon, Nov 13, 2023",Boston Celtics,New York Knicks,114,98,Boston Celtics,New York Knicks,16
"Mon, Nov 13, 2023",Toronto Raptors,Washington Wizards,111,107,Toronto Raptors,Washington Wizards,4
"Mon, Nov 13, 2023",Milwaukee Bucks,Chicago Bulls,118,109,Milwaukee Bucks,Chicago Bulls,9
"Mon, Nov 13, 2023",Sacramento Kings,Cleveland Cavaliers,132,120,Sacramento Kings,Cleveland Cavaliers,12
"Tue, Nov 14, 2023",Charlotte Hornets,Miami Heat,105,111,Miami Heat,Charlotte Hornets,6
"Tue, Nov 14, 2023",Detroit Pistons,Atlanta Hawks,120,126,Atlanta Hawks,Detroit Pistons,6
"Tue, Nov 14, 2023",Philadelphia 76ers,Indiana Pacers,126,132,Indiana Pacers,Philadelphia 76ers,6
"Tue, Nov 14, 2023",Brooklyn Nets,Orlando Magic,124,104,Brooklyn Nets,Orlando Magic,20
"Tue, Nov 14, 2023",Oklahoma City Thunder,San Antonio Spurs,123,87,Oklahoma City Thunder,San Antonio Spurs,36
"Tue, Nov 14, 2023",New Orleans Pelicans,Dallas Mavericks,131,110,New Orleans Pelicans,Dallas Mavericks,21
"Tue, Nov 14, 2023",Utah Jazz,Portland Trail Blazers,115,99,Utah Jazz,Portland Trail Blazers,16
"Tue, Nov 14, 2023",Denver Nuggets,Los Angeles Clippers,111,108,Denver Nuggets,Los Angeles Clippers,3
"Tue, Nov 14, 2023",Golden State Warriors,Minnesota Timberwolves,101,104,Minnesota Timberwolves,Golden State Warriors,3
"Tue, Nov 14, 2023",Los Angeles Lakers,Memphis Grizzlies,134,107,Los Angeles Lakers,Memphis Grizzlies,27
"Wed, Nov 15, 2023",Washington Wizards,Dallas Mavericks,117,130,Dallas Mavericks,Washington Wizards,13
"Wed, Nov 15, 2023",Atlanta Hawks,New York Knicks,114,116,New York Knicks,Atlanta Hawks,2
"Wed, Nov 15, 2023",Philadelphia 76ers,Boston Celtics,107,117,Boston Celtics,Philadelphia 76ers,10
"Wed, Nov 15, 2023",Toronto Raptors,Milwaukee Bucks,112,128,Milwaukee Bucks,Toronto Raptors,16
"Wed, Nov 15, 2023",Chicago Bulls,Orlando Magic,94,96,Orlando Magic,Chicago Bulls,2
"Wed, Nov 15, 2023",Phoenix Suns,Minnesota Timberwolves,133,115,Phoenix Suns,Minnesota Timberwolves,18
"Wed, Nov 15, 2023",Los Angeles Lakers,Sacramento Kings,110,125,Sacramento Kings,Los Angeles Lakers,15
"Wed, Nov 15, 2023",Portland Trail Blazers,Cleveland Cavaliers,95,109,Cleveland Cavaliers,Portland Trail Blazers,14
"Thu, Nov 16, 2023",Miami Heat,Brooklyn Nets,122,115,Miami Heat,Brooklyn Nets,7
